Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_LocationRestricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2019200812971,1,9,0,16,0,0,0,0,0,0,1,1,2,2,-1,-1,1968,2,10,-1,-1,-1
2019200812982,1,1,0,9,0,2,0,0,0,0,1,1,2,1,27,6,-1,-1,-1,2,1,2
2019200812982,2,9,0,14,0,1,0,0,0,0,1,1,6,1,25,5,1339,1,12,-1,-1,-1
2019200813003,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,1956,2,5,-1,-1,-1
2019200813003,2,9,0,18,0,8,0,0,0,0,2,1,6,2,27,6,1240,1,14,3,1,3
2019200813049,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200813049,2,9,0,7,0,5,0,0,0,0,2,1,6,1,35,6,1595,1,1,3,1,3
2019200813121,1,9,0,18,0,4,0,0,0,0,1,1,6,3,-1,-1,1598,2,2,-1,-1,-1
2019200813121,2,9,0,18,0,4,0,10,0,0,2,1,6,1,21,5,1229,1,11,1,1,1
2019200813128,1,19,0,18,0,1,0,0,0,0,1,1,1,1,44,7,2998,2,10,-1,-1,-1
2019200813144,1,9,0,3,0,0,0,0,0,0,1,1,6,1,51,8,2993,2,4,9,1,9
2019200813144,2,9,0,1,0,0,0,0,0,0,2,1,5,1,56,9,1499,2,3,7,1,7
2019200813157,1,9,0,5,0,6,0,0,0,0,1,1,6,2,50,8,2268,2,3,-1,-1,-1
2019200813157,2,1,0,18,0,8,0,0,0,0,1,1,2,1,18,4,-1,-1,-1,-1,-1,-1
2019200813171,1,9,0,7,0,6,0,0,0,0,3,1,6,2,39,7,1242,1,10,4,1,4
2019200813171,2,1,0,4,0,8,0,0,0,0,1,1,6,1,34,6,-1,-1,-1,2,1,2
2019200813222,1,3,0,18,0,8,0,0,0,0,1,1,6,1,21,5,124,1,20,1,1,1
2019200813222,2,19,0,5,0,6,0,0,0,0,1,1,2,1,46,8,1995,2,1,2,1,2
2019200813246,1,9,0,3,0,1,0,0,0,0,2,1,6,1,32,6,1796,1,14,5,1,5
2019200813246,2,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,1240,1,10,-1,-1,-1
2019200813293,1,9,0,18,0,4,0,0,0,0,0,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
2019200813293,2,1,0,18,0,8,0,0,0,0,0,1,6,2,40,7,-1,-1,-1,1,1,1
2019200813448,1,9,0,1,0,8,0,0,0,0,2,1,1,1,43,7,1968,2,3,10,1,10
2019200813472,1,9,0,13,0,0,0,0,0,0,4,1,6,2,59,9,1598,1,10,3,1,3
2019200813480,1,9,0,13,0,0,0,0,0,0,1,1,1,1,30,6,1753,2,12,1,1,1
2019200813480,2,11,0,4,0,0,0,0,0,0,2,1,1,1,66,10,9000,2,10,3,1,3
2019200813552,1,19,0,9,0,6,0,0,0,0,4,1,6,1,44,7,2496,2,19,7,1,7
2019200813552,2,9,0,18,0,8,0,0,0,0,3,1,6,2,43,7,-1,-1,-1,1,1,1
2019200813676,1,9,0,16,0,8,0,0,3,11,1,1,6,1,19,4,1390,1,8,1,1,1
2019200813716,1,9,0,18,0,8,0,0,0,0,1,1,6,1,24,5,1910,2,13,2,1,2
2019200813716,2,9,0,18,0,8,0,0,0,0,1,1,6,1,54,8,2231,2,14,7,1,7
2019200813716,3,9,0,18,0,1,0,0,0,0,0,1,6,1,-1,-1,2993,2,3,-1,-1,-1
2019200813856,1,9,0,9,0,5,0,0,0,0,1,1,6,1,22,5,1248,2,9,4,1,4
2019200813860,1,9,0,7,0,6,0,0,0,0,4,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
2019200813860,2,9,0,9,0,8,0,0,0,0,3,1,6,1,49,8,1461,2,14,2,1,2
2019200813865,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,1798,1,13,-1,-1,-1
2019200813865,2,11,0,18,0,8,0,0,0,0,4,1,1,1,34,6,7300,2,7,2,1,2
2019200813886,1,9,0,18,0,0,0,0,0,0,1,1,6,1,58,9,1598,1,9,1,1,1
2019200813895,1,9,0,12,0,0,0,4,0,0,1,1,6,1,25,5,1984,1,8,3,1,3
2019200813895,2,9,0,4,0,0,0,0,0,0,2,1,6,2,32,6,1329,1,10,4,1,4
2019200813895,3,9,0,2,9,0,0,0,0,0,3,1,6,3,-1,-1,1956,2,2,-1,-1,-1
2019200814064,1,9,0,7,0,6,0,0,0,0,4,1,6,3,38,7,1596,1,12,5,1,5
2019200814064,2,5,0,18,0,8,0,0,0,0,1,1,6,1,19,4,645,1,14,8,1,8
2019200814087,1,9,0,2,0,0,0,0,0,0,0,1,1,1,37,7,2967,2,3,-1,-1,-1
2019200814087,2,9,0,1,0,0,0,4,0,0,1,1,6,1,-1,-1,3993,1,3,-1,-1,-1
2019200814087,3,9,0,2,0,0,0,0,0,0,0,1,6,3,-1,-1,1242,1,10,-1,-1,-1
2019200814087,4,9,0,2,0,0,0,0,0,0,0,1,6,3,-1,-1,1560,2,1,-1,-1,-1
2019200814181,1,9,0,18,0,8,0,0,0,0,4,1,6,1,21,5,999,1,1,4,1,4
2019200814181,2,9,0,18,0,8,0,0,0,0,1,1,1,1,53,8,1956,2,7,1,1,1
2019200814226,1,9,0,18,0,0,0,0,0,0,1,1,6,1,41,7,2993,2,7,2,1,2
2019200814226,2,9,0,18,0,0,0,0,0,0,1,1,5,1,41,7,-1,-1,-1,2,1,2
