Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019200814631,2,1,1,1,32,6,3,0,0,0,0,0,9,1,1
2019200814653,2,1,2,2,-1,-1,3,0,0,-1,0,0,8,1,1
2019200814700,1,1,3,2,31,6,3,5,3,0,0,2,0,-1,-1
2019200814860,2,1,1,1,71,10,3,0,0,0,0,0,1,1,1
2019200814861,1,1,3,2,51,8,2,1,1,0,0,2,0,1,1
2019200814903,2,1,1,1,-1,-1,3,0,0,0,0,0,9,-1,-1
2019200815307,2,1,1,1,22,5,2,0,0,0,0,0,1,-1,-1
2019200815370,2,1,1,2,24,5,3,0,0,0,0,0,9,-1,-1
2019200815406,1,1,3,1,-1,-1,3,5,1,0,0,2,0,1,9
2019200815434,2,1,1,1,25,5,3,0,0,0,0,0,3,1,7
2019200815493,2,1,1,2,58,9,3,0,0,0,0,0,9,1,2
2019200815493,2,2,2,2,22,5,3,0,0,1,0,0,9,1,2
2019200815493,2,3,2,1,20,4,3,0,0,2,0,0,9,1,2
2019200815547,2,1,1,1,35,6,2,0,0,0,0,0,1,1,7
2019200815601,2,1,1,2,24,5,3,0,0,0,0,0,1,1,5
2019200815735,2,2,1,2,28,6,3,0,0,0,0,0,1,1,4
2019200816015,1,1,3,1,18,4,3,5,2,0,0,2,0,1,2
2019200816159,2,1,1,1,33,6,3,0,0,0,0,0,9,1,8
2019200816253,1,1,1,2,35,6,3,0,0,0,0,0,9,3,9
2019200816471,1,1,3,1,50,8,2,5,2,0,0,2,0,1,5
2019200816484,2,1,1,1,31,6,3,0,0,0,0,0,1,1,2
2019200816508,2,1,1,1,46,8,3,0,0,0,0,0,9,1,1
2019200816508,2,2,2,1,12,3,3,0,0,1,0,0,9,1,1
2019200816509,1,1,1,1,25,5,2,0,0,0,0,0,9,1,1
2019200816509,2,2,1,1,36,7,2,0,0,0,0,0,9,-1,-1
2019200816565,1,1,3,1,85,11,3,5,3,0,0,0,0,-1,-1
2019200816589,2,1,1,2,50,8,3,0,0,0,0,0,9,1,1
2019200816593,2,1,1,1,27,6,3,0,0,0,0,0,9,1,6
2019200816593,2,2,2,1,29,6,3,0,0,1,0,0,9,1,1
2019200816686,2,1,1,1,58,9,2,0,0,0,0,0,1,1,1
2019200816696,2,1,1,2,40,7,3,0,0,0,0,0,9,1,7
2019200816696,2,2,2,2,46,8,3,0,0,2,0,0,9,-1,-1
2019200816696,2,3,2,2,70,10,2,0,0,2,0,0,9,-1,-1
2019200816696,2,4,2,2,44,7,3,0,0,2,0,0,9,-1,-1
2019200816696,2,5,2,2,0,1,2,0,0,2,0,0,9,1,7
2019200816783,2,1,1,1,28,6,3,0,0,0,0,0,9,1,1
2019200816783,2,2,2,1,40,7,3,0,0,1,0,0,9,-1,-1
2019200816783,2,3,2,2,15,3,3,0,0,2,0,0,9,-1,-1
2019200816787,1,1,3,1,13,3,3,10,9,0,0,0,0,1,1
2019200816796,2,1,1,1,28,6,3,0,0,0,0,0,3,1,1
2019200816895,3,2,2,2,30,6,3,0,0,1,0,0,9,1,4
2019200816895,3,3,1,1,30,6,3,0,0,0,0,0,9,1,4
2019200816921,1,1,1,1,47,8,3,0,0,0,0,0,9,1,1
2019200816948,2,1,1,1,43,7,3,0,0,0,0,0,9,1,5
2019200816950,1,1,1,1,65,9,3,0,0,0,0,0,9,1,10
2019200816959,1,2,2,1,11,3,3,0,0,2,0,0,9,-1,-1
2019200816959,1,3,2,2,13,3,3,0,0,2,0,0,9,-1,-1
2019200816959,2,1,1,1,40,7,3,0,0,0,0,0,9,1,1
2019200816959,2,4,2,1,30,6,3,0,0,2,0,0,9,1,5
2019200816959,2,5,2,2,27,6,3,0,0,2,0,0,9,1,5
2019200816989,2,1,1,2,53,8,3,0,0,0,0,0,9,1,10
2019200816989,3,2,1,2,41,7,3,0,0,0,0,0,9,-1,-1
2019200816989,4,3,1,1,-1,-1,3,0,0,0,0,0,9,1,5
2019200817005,1,1,1,2,51,8,3,0,0,0,0,0,9,1,7
2019200817005,3,2,1,1,33,6,3,0,0,0,0,0,9,1,4
2019200817005,5,3,1,2,23,5,3,0,0,0,0,0,9,1,3
2019200817114,1,1,1,1,39,7,3,0,0,0,0,0,1,1,2
2019200817120,2,1,1,1,31,6,3,0,0,0,0,0,9,1,5
2019200817148,1,1,3,1,31,6,3,10,9,0,0,2,0,1,1
2019200817266,2,1,1,1,42,7,3,0,0,0,0,0,8,1,2
2019200817295,2,1,1,1,34,6,3,0,0,0,0,0,3,1,4
2019200817300,1,1,1,1,57,9,3,0,0,0,0,0,9,1,4
2019200817305,1,1,3,1,18,4,3,5,1,0,0,2,0,1,4
2019200817355,1,1,3,1,21,5,3,5,2,0,0,2,0,-1,-1
2019200817382,2,1,1,2,51,8,3,0,0,0,0,0,9,1,2
2019200817385,2,1,1,1,24,5,2,0,0,0,0,0,1,1,1
2019200817421,2,1,2,1,19,4,3,0,0,1,0,0,9,1,4
2019200817429,2,1,1,1,32,6,3,0,0,0,0,0,1,1,7
2019200817453,1,1,3,1,26,6,3,5,3,0,0,2,0,1,1
2019200817467,2,1,1,2,49,8,3,0,0,0,0,0,9,1,1
2019200817802,1,1,3,2,13,3,3,5,2,0,0,0,0,1,1
2019200817842,1,1,1,1,31,6,3,0,0,0,0,0,8,1,1
2019200817861,2,1,1,1,45,7,2,0,0,0,0,0,1,1,4
2019200818026,1,1,1,2,33,6,3,0,0,0,0,0,9,1,6
2019200818029,1,1,3,1,8,2,3,5,1,0,0,0,0,1,2
2019200818154,1,1,3,2,7,2,3,1,3,0,0,0,0,1,1
2019200818179,1,1,1,2,32,6,3,0,0,0,0,0,9,1,4
2019200818183,2,1,1,1,38,7,3,0,0,0,0,0,9,1,1
2019200818318,1,1,3,1,14,3,3,1,3,0,0,0,0,1,8
2019200818351,2,1,1,2,27,6,3,0,0,0,0,0,9,1,1
2019200818360,1,1,3,2,36,7,3,1,3,0,0,2,0,1,1
2019200818383,1,1,1,1,32,6,3,0,0,0,0,0,19,1,5
2019200818383,2,2,1,1,33,6,3,0,0,0,0,0,9,1,3
2019200818390,1,1,3,2,16,4,3,1,1,0,0,0,0,1,2
2019200818397,2,1,1,1,32,6,3,0,0,0,0,0,19,1,3
2019200818422,1,1,3,2,-1,-1,3,5,9,0,0,2,0,1,1
2019200818427,1,1,1,1,39,7,3,0,0,0,0,0,9,1,1
2019200818502,1,1,1,1,35,6,3,0,0,0,0,0,9,1,1
2019200818535,1,1,3,2,22,5,2,5,1,0,0,2,0,1,4
2019200818555,2,1,1,2,20,4,3,0,0,0,0,0,9,1,7
2019200818643,2,1,1,1,30,6,2,0,0,0,0,0,1,-1,-1
2019200818646,2,1,1,1,39,7,3,0,0,0,0,0,8,1,1
2019200818646,2,2,2,1,32,6,3,0,0,2,0,0,8,1,4
2019200818646,2,3,2,2,32,6,3,0,0,2,0,0,8,1,4
